variant,method,runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,delta_f1_vs_deployed_mean,delta_f1_vs_deployed_std,delta_f1_vs_deployed_mean_x1e5,delta_f1_vs_deployed_std_x1e5,source
mempool_trieguard,MTG,1,0.9999247517663383,0.0,0.9595550581327118,0.0,0.9793240516817753,0.0,0.0,0.0,0.0,0.0,deployed_lr_feature_sample
suffix_only,Suffix only,30,0.9998938434926635,4.516810283266961e-16,0.95948117794162,6.775215424900442e-16,0.9792707493725611,3.387607712450221e-16,-5.3302309214187105e-05,3.387607712450221e-16,-5.3302309214187105,3.387607712450221e-11,trained_lr_ablation_30run_full_feature_sample
no_token,No token,30,0.9999866153175032,5.646012854083701e-16,0.9593836883363844,6.775215424900442e-16,0.9792644560359643,3.387607712450221e-16,-5.959564581092813e-05,3.387607712450221e-16,-5.959564581092813,3.387607712450221e-11,trained_lr_ablation_30run_full_feature_sample
no_type,No type,30,0.9999854749438273,6.775215424900442e-16,0.9593842641757541,4.516810283266961e-16,0.9792642092109751,4.516810283266961e-16,-5.984247080015326e-05,4.516810283266961e-16,-5.984247080015326,4.5168102832669616e-11,trained_lr_ablation_30run_full_feature_sample
address_only,Address only,30,0.9999876356410693,4.516810283266961e-16,0.9593820759861512,3.387607712450221e-16,0.9792641053383162,6.775215424900442e-16,-5.9946343459071905e-05,6.775215424900442e-16,-5.9946343459071905,6.775215424900442e-11,trained_lr_ablation_30run_full_feature_sample
prefix_only,Prefix only,30,0.998881636061167,1.2256056489640579e-06,0.9595127723283542,4.3654269902874426e-08,0.9788014954890792,5.656983622451117e-07,-0.0005225561926960332,5.656983622451117e-07,-52.255619269603315,0.056569836224511165,trained_lr_ablation_30run_full_feature_sample
